date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:41	36469/36469	---M--	200	added ('OK')	image/jpeg	etag:%225bdda0f3-8e75%22	http://preview.uideck.com/items/material/assets/images/slider/slider-bg2.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/slider/slider-bg2.jpg	(from http://preview.uideck.com/items/material/)
11:38:43	29579/29579	---M--	200	added ('OK')	image/jpeg	etag:%225bdda0f8-738b%22	http://preview.uideck.com/items/material/assets/images/about/video.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/about/video.jpg	(from http://preview.uideck.com/items/material/)
11:38:49	61211/61211	---M--	200	added ('OK')	image/jpeg	etag:%225bdda116-ef1b%22	http://preview.uideck.com/items/material/assets/images/portfolio/work1.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work1.jpg	(from http://preview.uideck.com/items/material/)
11:38:50	39042/39042	---M--	200	added ('OK')	image/jpeg	etag:%225bdda115-9882%22	http://preview.uideck.com/items/material/assets/images/portfolio/work3.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work3.jpg	(from http://preview.uideck.com/items/material/)
11:38:54	104205/104205	---M--	200	added ('OK')	image/jpeg	etag:%225bdda0f4-1970d%22	http://preview.uideck.com/items/material/assets/images/slider/slider-bg3.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/slider/slider-bg3.jpg	(from http://preview.uideck.com/items/material/)
11:38:54	82655/82655	---M--	200	added ('OK')	image/jpeg	etag:%225bdda116-142df%22	http://preview.uideck.com/items/material/assets/images/portfolio/work2.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work2.jpg	(from http://preview.uideck.com/items/material/)
11:38:55	29002/29002	---M--	200	added ('OK')	image/jpeg	etag:%225bdda110-714a%22	http://preview.uideck.com/items/material/assets/images/portfolio/work5.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work5.jpg	(from http://preview.uideck.com/items/material/)
11:38:59	64314/64314	---M--	200	added ('OK')	image/jpeg	etag:%225bdda112-fb3a%22	http://preview.uideck.com/items/material/assets/images/portfolio/work4.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work4.jpg	(from http://preview.uideck.com/items/material/)
11:38:59	25907/25907	---M--	200	added ('OK')	image/jpeg	etag:%225bdda10b-6533%22	http://preview.uideck.com/items/material/assets/images/team/team1.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/team/team1.jpg	(from http://preview.uideck.com/items/material/)
11:39:00	38387/38387	---M--	200	added ('OK')	image/jpeg	etag:%225bdda114-95f3%22	http://preview.uideck.com/items/material/assets/images/portfolio/work6.jpg	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/assets/images/portfolio/work6.jpg	(from http://preview.uideck.com/items/material/)
